flight_id,plane_id,row_seat,col_seat,ticket_price_id
1,119,1,1,261
1,119,1,2,261
1,119,1,3,261
1,119,1,4,261
1,119,1,5,261
1,119,1,6,261
1,119,1,7,261
1,119,1,8,261
1,119,1,9,261
1,119,1,10,261
1,119,1,11,261
1,119,1,12,261
1,119,1,13,261
1,119,1,14,261
1,119,1,15,261
1,119,1,16,261
1,119,1,17,261
1,119,1,18,261
1,119,1,19,261
1,119,1,20,261
1,119,1,21,261
1,119,1,22,261
1,119,1,23,261
1,119,1,24,261
1,119,1,25,261
1,119,1,26,261
1,119,1,27,261
1,119,1,28,261
1,119,1,29,261
1,119,1,30,261
1,119,2,1,262
1,119,2,2,262
1,119,2,3,262
1,119,2,4,262
1,119,2,5,262
1,119,2,6,262
1,119,2,7,262
1,119,2,8,262
1,119,2,9,262
1,119,2,10,262
1,119,2,11,262
1,119,2,12,262
1,119,2,13,262
1,119,2,14,262
1,119,2,15,262
1,119,2,16,262
1,119,2,17,262
1,119,2,18,262
1,119,2,19,262
1,119,2,20,262
1,119,2,21,262
1,119,2,22,262
1,119,2,23,262
1,119,2,24,262
1,119,2,25,262
1,119,2,26,262
1,119,2,27,262
1,119,2,28,262
1,119,2,29,262
1,119,2,30,262
1,119,3,1,263
1,119,3,2,263
1,119,3,3,263
1,119,3,4,263
1,119,3,5,263
1,119,3,6,263
1,119,3,7,263
1,119,3,8,263
1,119,3,9,263
1,119,3,10,263
1,119,3,11,263
1,119,3,12,263
1,119,3,13,263
1,119,3,14,263
1,119,3,15,263
1,119,3,16,263
1,119,3,17,263
1,119,3,18,263
1,119,3,19,263
1,119,3,20,263
1,119,3,21,263
1,119,3,22,263
1,119,3,23,263
1,119,3,24,263
1,119,3,25,263
1,119,3,26,263
1,119,3,27,263
1,119,3,28,263
1,119,3,29,263
1,119,3,30,263
1,119,4,1,263
1,119,4,2,263
1,119,4,3,263
1,119,4,4,263
1,119,4,5,263
1,119,4,6,263
1,119,4,7,263
1,119,4,8,263
1,119,4,9,263
1,119,4,10,263
1,119,4,11,263
1,119,4,12,263
1,119,4,13,263
1,119,4,14,263
1,119,4,15,263
1,119,4,16,263
1,119,4,17,263
1,119,4,18,263
1,119,4,19,263
1,119,4,20,263
1,119,4,21,263
1,119,4,22,263
1,119,4,23,263
1,119,4,24,263
1,119,4,25,263
1,119,4,26,263
1,119,4,27,263
1,119,4,28,263
1,119,4,29,263
1,119,4,30,263
1,119,5,1,264
1,119,5,2,264
1,119,5,3,264
1,119,5,4,264
1,119,5,5,264
1,119,5,6,264
1,119,5,7,264
1,119,5,8,264
1,119,5,9,264
1,119,5,10,264
1,119,5,11,264
1,119,5,12,264
1,119,5,13,264
1,119,5,14,264
1,119,5,15,264
1,119,5,16,264
1,119,5,17,264
1,119,5,18,264
1,119,5,19,264
1,119,5,20,264
1,119,5,21,264
