4,70.76,283.04
5,118.18,590.9
6,124.4,746.4
3,98.7,296.1
4,76.23,304.92
1,118.82,118.82
6,95.48,572.88
1,53.03,53.03
5,28.75,143.75
5,106.72,533.6
6,50.2,301.2
3,120.1,360.3
1,107.88,107.88
2,96.73,193.46
1,43.62,43.62
4,26.77,107.08
1,43.95,43.95
1,107.36,107.36
5,79.66,398.3
5,94.94,474.7
3,106.52,319.56
3,29.53,88.59
4,85.93,343.72
2,46.13,92.26
5,39.27,196.35
4,73.86,295.44
4,92.75,371.0
1,30.8,30.8
3,76.77,230.31
2,36.43,72.86
3,43.05,129.15
6,78.39,470.34
5,98.12,490.6
2,79.25,158.5
4,48.17,192.68
1,98.64,98.64
4,74.02,296.08
1,86.39,86.39
5,32.62,163.1
2,107.86,215.72
2,119.84,239.68
4,118.74,474.96
6,104.88,629.28
6,28.62,171.72
2,61.47,122.94
5,89.41,447.05
4,97.94,391.76
4,64.71,258.84
5,25.31,126.55
1,25.74,25.74
4,90.04,360.16
6,41.81,250.86
1,74.27,74.27
5,48.43,242.15
6,108.16,648.96
5,104.86,524.3
4,97.7,390.8
5,73.35,366.75
1,87.76,87.76
3,74.05,222.15
1,97.41,97.41
6,107.53,645.18
1,46.02,46.02
5,111.48,557.4
4,96.15,384.6
3,81.74,245.22
3,66.73,200.19
6,110.79,664.74
3,55.22,165.66
1,69.87,69.87
5,26.76,133.8
5,57.95,289.75
3,83.27,249.81
3,70.31,210.93
4,34.24,136.96
3,78.85,236.55
6,111.12,666.72
2,123.76,247.52
4,94.13,376.52
1,70.9,70.9
5,95.95,479.75
4,89.59,358.36
6,107.44,644.64
2,38.85,77.7
5,45.05,225.25
3,108.59,325.77
6,79.23,475.38
6,117.14,702.84
4,28.59,114.36
1,68.01,68.01
5,108.63,543.15
3,100.41,301.23
6,50.52,303.12
4,39.17,156.68
6,38.07,228.42
1,110.97,110.97
2,87.57,175.14
4,32.58,130.32
3,35.69,107.07
4,72.87,291.48
4,114.23,456.92
6,81.55,489.3
3,77.8,233.4
4,42.74,170.96
1,105.48,105.48
3,111.67,335.01
3,28.76,86.28
2,73.73,147.46
2,105.57,211.14
2,95.79,191.58
3,109.02,327.06
4,74.96,299.84
3,82.72,248.16
5,69.98,349.9
4,26.25,105.0
6,120.96,725.76
2,106.3,212.6
6,39.26,235.56
4,113.95,455.8
5,75.16,375.8
4,45.94,183.76
1,31.39,31.39
3,119.46,358.38
2,117.68,235.36
2,71.28,142.56
2,77.39,154.78
6,70.83,424.98
1,87.95,87.95
6,39.54,237.24
5,113.16,565.8
2,45.88,91.76
4,80.18,320.72
2,44.7,89.4
5,35.58,177.9
6,34.27,205.62
3,97.61,292.83
3,102.31,306.93
2,50.29,100.58
1,74.92,74.92
6,59.7,358.2
1,120.92,120.92
4,83.04,332.16
6,64.4,386.4
3,53.58,160.74
6,57.19,343.14
5,25.9,129.5
4,113.84,455.36
4,46.32,185.28
2,112.4,224.8
3,67.67,203.01
5,27.07,135.35
5,124.85,624.25
5,101.59,507.95
4,42.54,170.16
4,67.61,270.44
5,107.85,539.25
5,85.55,427.75
6,110.64,663.84
3,102.64,307.92
5,96.25,481.25
6,83.62,501.72
6,107.1,642.6
2,66.83,133.66
1,52.32,52.32
6,55.27,331.62
2,104.87,209.74
6,35.15,210.9
1,109.71,109.71
2,87.22,174.44
4,92.07,368.28
2,121.47,242.94
5,58.78,293.9
6,121.27,727.62
3,29.63,88.89
4,110.71,442.84
6,54.98,329.88
6,54.56,327.36
6,47.0,282.0
4,121.08,484.32
1,112.35,112.35
1,120.5,120.5
6,42.5,255.0
4,31.35,125.4
2,53.58,107.16
5,105.2,526.0
1,60.69,60.69
5,124.57,622.85
4,54.95,219.8
2,43.82,87.64
5,76.74,383.7
5,89.7,448.5
1,118.52,118.52
1,97.88,97.88
4,38.18,152.72
